category,type,quality,file,extension,width,height,mode,bands,type_image,mask,mask_bands,mask_mode,mask_type
bottle,test,broken_large,000,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_large,001,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_large,002,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_large,003,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_large,004,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_large,005,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_large,006,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_large,007,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_large,008,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_large,009,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_large,010,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_large,011,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_large,012,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_large,013,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_large,014,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_large,015,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_large,016,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_large,017,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_large,018,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_large,019,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_small,000,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_small,001,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_small,002,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_small,003,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_small,004,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_small,005,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_small,006,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_small,007,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_small,008,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_small,009,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_small,010,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_small,011,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_small,012,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_small,013,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_small,014,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_small,015,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_small,016,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_small,017,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_small,018,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_small,019,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_small,020,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,broken_small,021,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,contamination,000,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,contamination,001,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,contamination,002,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,contamination,003,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,contamination,004,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,contamination,005,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,contamination,006,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,contamination,007,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,contamination,008,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,contamination,009,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,contamination,010,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,contamination,011,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,contamination,012,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,contamination,013,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,contamination,014,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,contamination,015,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,contamination,016,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,contamination,017,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,contamination,018,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,contamination,019,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,contamination,020,.png,900,900,RGB,3,C,True,1.0,L,G
bottle,test,good,000,.png,900,900,RGB,3,C,False,,,
bottle,test,good,001,.png,900,900,RGB,3,C,False,,,
bottle,test,good,002,.png,900,900,RGB,3,C,False,,,
bottle,test,good,003,.png,900,900,RGB,3,C,False,,,
bottle,test,good,004,.png,900,900,RGB,3,C,False,,,
bottle,test,good,005,.png,900,900,RGB,3,C,False,,,
bottle,test,good,006,.png,900,900,RGB,3,C,False,,,
bottle,test,good,007,.png,900,900,RGB,3,C,False,,,
bottle,test,good,008,.png,900,900,RGB,3,C,False,,,
bottle,test,good,009,.png,900,900,RGB,3,C,False,,,
bottle,test,good,010,.png,900,900,RGB,3,C,False,,,
bottle,test,good,011,.png,900,900,RGB,3,C,False,,,
bottle,test,good,012,.png,900,900,RGB,3,C,False,,,
bottle,test,good,013,.png,900,900,RGB,3,C,False,,,
bottle,test,good,014,.png,900,900,RGB,3,C,False,,,
bottle,test,good,015,.png,900,900,RGB,3,C,False,,,
bottle,test,good,016,.png,900,900,RGB,3,C,False,,,
bottle,test,good,017,.png,900,900,RGB,3,C,False,,,
bottle,test,good,018,.png,900,900,RGB,3,C,False,,,
